time,object_id,x21_lidar,y21_lidar,rho_lidar_raw,alpha2_lidar_raw,rho_measured,alpha2_measured,rho_bias,alpha2_bias,rho_hat,alpha1_hat,alpha2_hat,v1_hat,u1_hat,v1_cmd,u1_cmd,v2_cmd,u2_cmd,mocap_valid,mocap_sync_mode,mocap_time_error,x1_mocap,y1_mocap,th1_mocap,x2_mocap,y2_mocap,th2_mocap,rho_mocap,alpha1_mocap,alpha2_mocap,rho_lidar_minus_mocap,alpha2_lidar_minus_mocap,rho_hat_minus_mocap,alpha1_hat_minus_mocap,alpha2_hat_minus_mocap
0.0887,1550,0.47876,0.43329,0.64571,0.73558,0.64571,0.73558,0.00000,-0.00000,0.64571,1.57080,0.73558,0.14000,0.00000,0.08000,0.00000,0.10000,0.79962,1,interpolated,0.000000,-0.58340,-0.11084,-0.00556,-1.04485,-0.60276,0.02820,0.67448,-2.31867,0.78916,-0.02876,-0.05358,-0.02876,-2.39371,-0.05358
0.1887,1550,0.48347,0.42920,0.64650,0.72601,0.64650,0.72601,0.00000,-0.00000,0.64612,1.60449,0.72447,0.14126,0.00000,0.08000,0.00000,0.10000,0.77675,1,interpolated,0.000000,-0.57731,-0.11053,-0.00415,-1.03759,-0.60309,0.04773,0.67415,-2.31818,0.77154,-0.02765,-0.04552,-0.02803,-2.36052,-0.04707
0.2874,1550,0.49112,0.41332,0.64190,0.69959,0.64190,0.69959,0.00000,-0.00000,0.64177,1.63667,0.69859,0.14208,0.00000,0.08000,0.00000,0.10000,0.72537,1,interpolated,0.000000,-0.57075,-0.11067,-0.00511,-1.02847,-0.60468,0.10588,0.67346,-2.31297,0.71764,-0.03157,-0.01805,-0.03169,-2.33354,-0.01905
0.3866,1550,0.50814,0.38933,0.64015,0.65378,0.64015,0.65378,0.00000,-0.00000,0.63992,1.66950,0.65402,0.14190,0.00000,0.08000,0.00000,0.10000,0.63888,1,interpolated,0.000000,-0.56304,-0.10995,-0.00308,-1.01847,-0.60550,0.17718,0.67304,-2.31096,0.65037,-0.03289,0.00341,-0.03313,-2.30273,0.00364
0.4842,1550,0.52897,0.35606,0.63764,0.59245,0.63764,0.59245,0.00000,-0.00000,0.63745,1.70162,0.59396,0.14068,0.00000,0.08000,0.00000,0.10000,0.52115,1,interpolated,0.000000,-0.55490,-0.11002,-0.00150,-1.00831,-0.60524,0.24567,0.67143,-2.31065,0.58378,-0.03380,0.00867,-0.03398,-2.27092,0.01017
0.5863,1550,0.55025,0.32063,0.63685,0.52760,0.63685,0.52760,0.00000,-0.00000,0.63659,1.73532,0.52973,0.13890,0.00000,0.08000,0.00000,0.10000,0.39359,1,interpolated,0.000000,-0.54734,-0.10975,0.00218,-0.99799,-0.60519,0.31368,0.66974,-2.31107,0.51902,-0.03289,0.00857,-0.03315,-2.23680,0.01070
0.6856,1550,0.56691,0.28494,0.63449,0.46574,0.63449,0.46574,0.00000,-0.00000,0.63430,1.76749,0.46840,0.13676,0.00000,0.08000,0.00000,0.10000,0.27000,1,interpolated,0.000000,-0.53937,-0.10937,-0.00097,-0.98774,-0.60345,0.36783,0.66719,-2.30676,0.46603,-0.03271,-0.00029,-0.03289,-2.20894,0.00237
0.7861,1550,0.58175,0.25280,0.63430,0.40993,0.63430,0.40993,0.00000,-0.00000,0.63402,1.80012,0.41284,0.13445,0.00000,0.08000,0.00000,0.10000,0.15769,1,interpolated,0.000000,-0.53174,-0.10929,0.00101,-0.97829,-0.60140,0.40577,0.66451,-2.30870,0.42814,-0.03021,-0.01821,-0.03049,-2.17436,-0.01530
0.8871,1550,0.59062,0.22509,0.63206,0.36412,0.63206,0.36412,0.00000,-0.00000,0.63188,1.83188,0.36703,0.13218,0.00000,0.08000,0.00000,0.10000,0.06476,1,interpolated,0.000000,-0.52383,-0.10898,0.00314,-0.96872,-0.59798,0.43183,0.66110,-2.31214,0.40077,-0.02904,-0.03665,-0.02922,-2.13916,-0.03374
0.9872,1550,0.59424,0.20461,0.62848,0.33161,0.62848,0.33161,0.00000,-0.00000,0.62837,1.86230,0.33429,0.13013,0.00000,0.08000,0.00000,0.10000,-0.00129,1,interpolated,0.000000,-0.51566,-0.10925,0.00663,-0.95977,-0.59471,0.44931,0.65795,-2.31838,0.38054,-0.02947,-0.04893,-0.02958,-2.10251,-0.04625
1.0872,1550,0.59518,0.19314,0.62573,0.31378,0.62573,0.31378,0.00000,-0.00000,0.62560,1.89187,0.31601,0.12848,0.00000,0.08000,0.00000,0.10000,-0.03682,1,interpolated,0.000000,-0.50846,-0.10871,0.00538,-0.95112,-0.59094,0.45706,0.65459,-2.31882,0.37109,-0.02886,-0.05731,-0.02900,-2.07250,-0.05508
1.1865,1550,0.59415,0.18583,0.62253,0.30313,0.62253,0.30313,0.00000,-0.00000,0.62243,1.92058,0.30514,0.12703,0.00000,0.08000,0.00000,0.10000,-0.05680,1,interpolated,0.000000,-0.50052,-0.10781,0.00583,-0.94180,-0.58643,0.45847,0.65101,-2.32146,0.36749,-0.02848,-0.06436,-0.02858,-2.04115,-0.06235
1.2870,1550,0.59153,0.18420,0.61954,0.30187,0.61954,0.30187,0.00000,-0.00000,0.61944,1.94879,0.30348,0.12589,0.00000,0.08000,0.00000,0.10000,-0.05729,1,interpolated,0.000000,-0.49276,-0.10783,0.00807,-0.93314,-0.58212,0.45375,0.64721,-2.32720,0.36871,-0.02767,-0.06684,-0.02777,-2.00720,-0.06523
